frame,t_ms,interval_start_ms,interval_end_ms,header_second_x,header_correlation,marker_0_x,marker_0_visible_width,bar_0_x,marker_1_x,marker_1_visible_width,bar_1_x,marker_2_x,marker_2_visible_width,bar_2_x,marker_3_x,marker_3_visible_width,bar_3_x
0,-741.4664,-784.1823999999999,-704.0382,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
1,-683.35845,-717.9969999999998,-654.0077,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
2,-641.5714,-668.1194999999999,-620.3111,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
3,-601.23275,-634.3554999999999,-573.3978,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
4,-550.0104,-587.3215999999999,-517.9870000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
5,-505.78035,-532.0806999999999,-484.7678000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
6,-465.45354999999995,-498.88339999999994,-437.3115,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
7,-420.5296000000001,-451.4378999999999,-394.9091000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
8,-375.4901,-409.05309999999986,-347.21489999999994,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
9,-326.98305000000005,-361.36109999999985,-297.8928000000001,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
10,-284.72905000000014,-312.02769999999987,-262.7182,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
11,-249.49320000000012,-276.8787,-227.39549999999986,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
12,-210.09449999999993,-241.53849999999989,-183.93830000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
13,-167.4179999999999,-197.97059999999988,-142.15319999999997,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
14,-120.5775000000001,-156.15109999999981,-90.29169999999999,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
15,-74.11860000000001,-104.3594999999998,-49.165500000000065,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
16,-30.442999999999984,-63.32489999999984,-2.848900000000185,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
17,13.044799999999896,-16.999700000000075,37.80150000000003,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
18,63.326049999999896,23.68100000000004,97.68329999999992,158,1.0000000000000002,24,64,24,,0,,,0,,,0,
19,124.88710000000015,83.5418000000002,160.94460000000004,158,1.0000000000000002,115,64,115,,0,,,0,,,0,
20,184.54160000000002,146.9163000000001,216.87909999999988,158,1.0000000000000002,115,64,115,,0,,,0,,,0,
21,246.8814500000001,202.77279999999996,285.7022999999999,243,0.9970597127126403,306,64,306,,0,,,0,,,0,
22,306.92550000000006,271.5642,336.999,243,0.9970597127126403,306,64,306,,0,,,0,,,0,
23,367.64205000000015,322.8801000000001,407.11619999999994,,0.4274406167021044,,60,420,,0,,,0,,,0,
24,433.58569999999986,393.0177000000001,468.8659,,0.4250733504818081,,11,469,,0,,,0,,,0,
25,501.85635000000025,454.78800000000024,543.6369,,0.39697642420133494,,0,,,0,,,0,,,0,
26,573.5905,529.5674000000001,612.3258000000003,,0.39107567606456595,,0,,,0,,,0,,,0,
27,643.441,598.2623000000001,683.3318999999999,,0.39107567606456595,,0,,,0,,,0,,,0,
28,712.2133999999999,669.2664000000002,749.8725999999999,,0.39107567606456595,,0,,,0,,,0,,,0,-241
29,776.8048500000002,735.8307000000002,812.4912000000002,,0.39107567606456595,,0,,,0,,,0,,,0,-86
30,835.9334500000002,798.3541000000002,868.2250000000001,,0.39107567606456595,,0,,,0,,,0,,,43,-21
31,893.7888,854.1861999999999,928.1036000000001,,0.39107567606456595,,0,,,0,,,0,,8,63,8
32,955.3057500000002,914.0013999999999,991.3223,,0.39107567606456595,,0,,,0,,,0,,19,63,19
33,1015.3498999999999,977.3228999999999,1048.0891,,0.39107567606456595,,0,,,0,,,0,,24,63,24
34,1065.91755,1033.9677,1092.5795999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
35,1109.4397500000002,1078.555,1135.0366999999999,,0.39107567606456595,,0,,,0,,,0,,24,64,24
36,1153.606,1120.9049000000002,1181.0192999999997,,0.39107567606456595,,0,,,0,,,0,,24,64,24
37,1195.63595,1166.889,1219.0951000000002,,0.39107567606456595,,0,,,0,,,0,,24,64,24
38,1232.5975,1204.9457,1254.9615000000001,,0.39107567606456595,,0,,,0,,,0,,24,64,24
39,1272.10965,1240.802,1298.1294999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
40,1307.4239000000005,1283.9681000000003,1325.5919000000001,,0.39107567606456595,,0,,,0,,,0,,24,64,24
41,1335.9394,1311.4766000000002,1355.1144000000002,,0.39107567606456595,,0,,,0,,,0,,24,64,24
42,1366.1664500000004,1340.9593000000002,1386.0858,,0.39107567606456595,,0,,,0,,,0,,24,64,24
43,1399.4089000000001,1371.9385000000004,1421.5914999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
44,1440.5772000000004,1407.4486000000004,1468.418,,0.39107567606456595,,0,,,0,,,0,,24,64,24
45,1487.17745,1454.2809000000004,1514.7861999999998,,0.39107567606456595,,0,,,0,,,0,,24,64,24
46,1535.3088000000005,1500.6768000000004,1564.653,,0.39107567606456595,,0,,,0,,,0,,24,64,24
