native_frame,t_ms,interval_start_ms,interval_end_ms,flutter_frame,flutter_t_ms,motion_sample,visibility_mismatch,interval_visibility_mismatch,native_0_x,flutter_0_x,native_1_x,flutter_1_x,native_2_x,flutter_2_x,native_3_x,flutter_3_x
79,3202.7141,3177.4942,3228.1450999999997,222,3200.0,True,False,False,,,,,,,-211.0,-224
80,3239.6761500000002,3207.5375000000004,3272.0258999999996,224,3233.333,True,False,False,,,,,,,-251.0,-251
81,3284.0731000000005,3251.4429,3316.9143999999997,227,3283.333,True,False,False,,,,,,,-266.0,-266
82,3321.6686499999996,3296.2509,3347.2974999999997,229,3316.667,True,False,False,,,,,,,-266.0,-273
83,3362.116,3326.6953000000003,3397.7478,231,3350.0,True,False,False,,,,,,,-296.0,-273
84,3417.0882500000007,3377.1739000000007,3457.2137000000002,235,3416.667,True,False,False,,,,,,,-371.0,-387
85,3473.41565,3436.7465,3510.2959,238,3466.667,True,False,False,,,,,,,-421.0,-423
86,3535.9730500000005,3489.7082999999993,3582.4489000000003,242,3533.333,False,False,False,,,,,,,,
87,3607.3247499999998,3561.9011,3652.9595,246,3600.0,False,False,False,,,,,,,,
88,3674.6216000000004,3632.4289,3717.0254000000004,250,3666.6670000000004,False,False,False,,,,,,,,
89,3741.84605,3696.4157000000005,3787.4875,254,3733.3329999999996,True,False,False,337.0,340,,,,,,
90,3822.683,3766.9181,3878.6589999999997,259,3816.6670000000004,True,False,False,158.0,134,,,,,,
91,3896.0226000000002,3858.057100000001,3934.1992,263,3883.3329999999996,True,False,False,58.0,70,,,,,,
92,3966.1062999999995,3913.5811000000003,4018.8426,267,3950.0,True,False,False,37.0,42,,,,,,
93,4042.82575,3998.334,4087.5285999999996,272,4033.3329999999996,True,False,False,26.0,29,,,,,,
94,4106.0229,4066.9942,4145.2627,276,4100.0,False,False,False,24.0,24,,,,,,
95,4149.58665,4124.650200000001,4174.7342,278,4133.333,False,False,False,24.0,24,,,,,,
96,4177.06285,4154.1606,4200.1762,280,4166.667,False,False,False,24.0,24,,,,,,
97,4205.9366,4179.5624,4232.5219,282,4200.0,False,False,False,24.0,24,,,,,,
98,4236.9287,4211.8674,4262.2011,284,4233.333,False,False,False,24.0,24,,,,,,
99,4280.2415,4241.5503,4319.1438,286,4266.667,False,False,False,24.0,24,,,,,,
100,4326.7054499999995,4298.657200000001,4354.9648,289,4316.667,False,False,False,24.0,24,,,,,,
101,4358.057350000001,4334.527000000001,4381.7988000000005,291,4350.0,False,False,False,24.0,24,,,,,,
102,4399.6572,4361.146100000001,4438.3794,293,4383.333,False,False,False,24.0,24,,,,,,
103,4451.4912,4417.976900000001,4485.2166,297,4450.0,False,False,False,24.0,24,,,,,,
104,4499.619850000001,4464.6372,4534.8136,299,4483.333,False,False,False,24.0,24,,,,,,
105,4538.6376,4514.2259,4563.2604,302,4533.333,False,False,False,24.0,24,,,,,,
106,4567.68965,4542.651699999999,4592.9387,304,4566.667,False,False,False,24.0,24,,,,,,
107,4608.9665,4572.3834,4645.7607,306,4600.0,False,False,False,24.0,24,,,,,,
